country_code,region_name,iata,icao,airport,latitude,longitude,airport_coords
NO,More og Romsdal,AES,ENAL,Alesund Airport,62.5625,6.1197,"(62.5625, 6.1197)"
NO,Nord-Trondelag,TRD,ENVA,Trondheim Airport,63.4578,10.924,"(63.4578, 10.924)"
NO,Rogaland,HAU,ENHD,Haugesund Airport,59.3453,5.20836,"(59.3453, 5.20836)"
NO,Rogaland,SVG,ENZV,Stavanger Airport,58.8767,5.63778,"(58.8767, 5.63778)"
NO,Troms,TOS,ENTC,Tromse Airport,69.6833,18.9189,"(69.6833, 18.9189)"
NO,Vestfold,TRF,ENTO,Sandefjord Airport,59.1867,10.2586,"(59.1867, 10.2586)"
OM,Ad Dakhiliyah,MCT,OOMS,Muscat International Airport,23.5933,58.2844,"(23.5933, 58.2844)"
OM,Zufar,SLL,OOSA,Salalah International Airport,17.0387,54.0913,"(17.0387, 54.0913)"
PL,Dolnoslaskie,WRO,EPWR,Copernicus Airport Wroclaw,51.1027,16.8858,"(51.1027, 16.8858)"
PL,Lubelskie,LUZ,EPLB,Lublin Airport,51.2403,22.7136,"(51.2403, 22.7136)"
PL,Malopolskie,KRK,EPKK,John Paul II International Airport Krakow-Balice,50.0777,19.7848,"(50.0777, 19.7848)"
PL,Mazowieckie,RDO,EPRA,Radom Airport,51.3892,21.2133,"(51.3892, 21.2133)"
PL,Mazowieckie,WAW,EPWA,Warsaw Chopin Airport,52.1657,20.9671,"(52.1657, 20.9671)"
PL,Podlaskie,RZE,EPRZ,Rzeszow-Jasionka Airport,50.11,22.019,"(50.11, 22.019)"
PL,Pomorskie,GDN,EPGD,Gdansk Lech Walesa Airport,54.3776,18.4662,"(54.3776, 18.4662)"
PL,Slaskie,KTW,EPKT,Katowice International Airport,50.4743,19.08,"(50.4743, 19.08)"
PL,Wielkopolskie,POZ,EPPO,Poznań–Ławica Henryk Wieniawski Airport,52.421,16.8263,"(52.421, 16.8263)"
PL,Zachodniopomorskie,SZZ,EPSC,Solidarity Szczecin-Goleniow Airport,53.5847,14.9022,"(53.5847, 14.9022)"
PT,Faro,FAO,LPFR,Faro Airport,37.0144,-7.96591,"(37.0144, -7.96591)"
PT,Lisboa,LIS,LPPT,Lisbon Portela Airport,38.7813,-9.13592,"(38.7813, -9.13592)"
PT,Porto,OPO,LPPR,Francisco Sá Carneiro Airport,41.2356,-8.67806,"(41.2356, -8.67806)"
PT,Regiao Autonoma da Madeira,FNC,LPMA,Madeira Airport,32.6979,-16.7745,"(32.6979, -16.7745)"
RO,Bacau,BCM,LRBC,Bacau International Airport,46.5219,26.9103,"(46.5219, 26.9103)"
RO,Brasov,GHV,LRBV,Brasov Airport,45.6942,25.5172,"(45.6942, 25.5172)"
RO,Bucuresti,BBU,LRBS,Aurel Vlaicu International Airport,44.496,26.0814,"(44.496, 26.0814)"
RO,Cluj,CLJ,LRCL,Cluj-Napoca International Airport,46.7852,23.6862,"(46.7852, 23.6862)"
RO,Constanta,CND,LRCK,Mihail Kogalniceanu International Airport,44.3622,28.4883,"(44.3622, 28.4883)"
